	 cell2
0,038	0,011399
0,076	0,007843
0,114	0,00613
0,152	0,005615
0,19	0,00424
0,228	0,003289
0,266	0,006394
0,304	0,006259
0,342	0,009469
0,38	0,00871
0,418	0,00704
0,456	0,008455
0,494	0,007491
0,532	0,00603
0,57	0,00577
0,608	0,007687
0,646	0,005339
0,684	0,006667
0,722	0,008193
0,76	0,009031
0,798	0,013423
0,836	0,016729
0,874	0,015101
0,912	0,014418
0,95	0,011622
0,988	0,014668
1,026	0,013015
1,064	0,007994
1,102	0,004928
1,14	0,008604
1,178	0,011029
1,216	0,010763
1,254	0,010589
1,292	0,008167
1,33	0,007823
1,368	0,010527
1,406	0,012954
1,444	0,009938
1,482	0,00981
1,52	0,012835
1,558	0,010597
1,596	0,008744
1,634	0,006307
1,672	0,009793
1,71	0,009215
1,748	0,008074
1,786	0,009974
1,824	0,007896
1,862	0,010825
1,9	0,01154
1,938	0,007152
1,976	0,005226
2,014	0,004247
2,052	0,002062
2,09	0,003668
2,128	0,002248
2,166	0,003917
2,204	0,001361
2,242	0,000717
2,28	0,000988
2,318	0,001024
2,356	-0,001318
2,394	-0,003542
2,432	-0,001777
2,47	0,001105
2,508	-0,000731
2,546	0,000834
2,584	0,010241
2,622	0,026903
2,66	0,038992
2,698	0,053083
2,736	0,070443
2,774	0,088044
2,812	0,103993
2,85	0,114448
2,888	0,125337
2,926	0,134208
2,964	0,13814
3,002	0,141016
3,04	0,144393
3,078	0,147427
3,116	0,147519
3,154	0,144462
3,192	0,142545
3,23	0,138679
3,268	0,136712
3,306	0,133183
3,344	0,127745
3,382	0,125185
3,42	0,123821
3,458	0,11814
3,496	0,116136
3,534	0,11495
3,572	0,107897
3,61	0,104662
3,648	0,104309
3,686	0,100123
3,724	0,099313
3,762	0,098024
3,8	0,09231
3,838	0,084872
3,876	0,083407
3,914	0,076361
3,952	0,077166
3,99	0,075034
4,028	0,073267
4,066	0,072183
4,104	0,072043
4,142	0,07093
4,18	0,068443
4,218	0,066904
4,256	0,064255
4,294	0,065333
4,332	0,063948
4,37	0,067638
4,408	0,064669
4,446	0,063302
4,484	0,061219
4,522	0,058786
4,56	0,058049
4,598	0,054974
4,636	0,05418
4,674	0,053951
4,712	0,052242
4,75	0,04964
4,788	0,046111
4,826	0,044375
4,864	0,041796
4,902	0,041039
4,94	0,037564
4,978	0,036584
5,016	0,035107
5,054	0,035594
5,092	0,03405
5,13	0,028978
5,168	0,032604
5,206	0,031806
5,244	0,029804
5,282	0,029952
5,32	0,029706
5,358	0,029618
5,396	0,027245
5,434	0,024423
5,472	0,027017
5,51	0,026201
5,548	0,022236
5,586	0,018276
5,624	0,015177
5,662	0,015825
5,7	0,010851
5,738	0,007138
5,776	0,003052
5,814	-0,000812
5,852	0,003163
5,89	0,00576
5,928	0,004625
5,966	0,003132
6,004	0,00158
6,042	0,002396
6,08	0,000029
6,118	0,001735
6,156	-0,000786
6,194	-0,003549
6,232	-0,002301
6,27	-0,002169
6,308	0,000725
6,346	-0,002417
6,384	-0,0029
6,422	-0,005956
6,46	-0,010485
6,498	-0,009281
6,536	-0,010805
6,574	-0,012413
6,612	-0,008461
6,65	-0,006105
6,688	-0,000713
6,726	0,000039
6,764	0,000073
6,802	0,000602
6,84	0,000684
6,878	0,005325
6,916	0,004168
6,954	0,003423
6,992	0,005862
7,03	0,009895
7,068	0,007895
7,106	0,006071
7,144	0,009274
7,182	0,008577
7,22	0,008205
7,258	0,00763
7,296	0,007929
7,334	0,007054
7,372	0,006533
7,41	0,001654
7,448	0,000477
7,486	-0,001718
7,524	-0,000818
7,562	-0,000299
7,6	0,001427
7,638	0,003626
7,676	0,004657
7,714	0,002303
7,752	0,000941
7,79	0,001639
7,828	0,00352
7,866	0,000251
7,904	0,000744
7,942	0,000885
7,98	-0,004162
8,018	-0,007423
8,056	-0,004874
8,094	-0,005219
8,132	-0,00325
8,17	-0,005352
8,208	-0,004212
8,246	-0,003287
8,284	-0,004494
8,322	-0,002137
8,36	-0,000113
8,398	0,000634
8,436	0,001757
8,474	-0,00171
8,512	-0,003789
8,55	-0,00305
8,588	-0,001312
8,626	0,001347
8,664	0,001813
8,702	-0,00087
8,74	-0,006023
8,778	-0,011361
8,816	-0,009031
8,854	-0,00994
8,892	-0,010288
8,93	-0,005208
8,968	-0,003365
9,006	-0,003631
9,044	-0,00216
9,082	-0,001018
9,12	-0,001201
9,158	0,001008
9,196	0,004095
9,234	0,005428
9,272	0,004541
9,31	0,004874
9,348	0,00421
9,386	0,004437
9,424	0,006027
9,462	0,007547
9,5	0,004902
9,538	0,004158
9,576	0,004749
9,614	0,008404
9,652	0,019373
9,69	0,029375
9,728	0,045651
9,766	0,060477
9,804	0,075538
9,842	0,09433
9,88	0,110426
9,918	0,122858
9,956	0,129717
9,994	0,134165
10,032	0,14235
10,07	0,148516
10,108	0,152052
10,146	0,152981
10,184	0,151749
10,222	0,151021
10,26	0,149901
10,298	0,14477
10,336	0,143112
10,374	0,138636
10,412	0,134457
10,45	0,134541
10,488	0,131795
10,526	0,126609
10,564	0,123994
10,602	0,121402
10,64	0,115863
10,678	0,109799
10,716	0,108322
10,754	0,107773
10,792	0,105888
10,83	0,100455
10,868	0,097731
10,906	0,094329
10,944	0,094338
10,982	0,095355
11,02	0,090889
11,058	0,084849
11,096	0,083342
11,134	0,080042
11,172	0,076163
11,21	0,074628
11,248	0,075607
11,286	0,073215
11,324	0,067792
11,362	0,063637
11,4	0,061444
11,438	0,06011
11,476	0,056373
11,514	0,053711
11,552	0,052418
11,59	0,05135
11,628	0,049366
11,666	0,048539
11,704	0,049579
11,742	0,046993
11,78	0,042892
11,818	0,039068
11,856	0,037229
11,894	0,037705
11,932	0,037369
11,97	0,035359
