	cell9
1	37.167
2	37.933
3	38.633
4	38.267
5	37.283
6	38.617
7	37.95
8	39.833
9	39.683
10	41.183
11	40.533
12	41.517
13	40.333
14	41.633
15	39.8
16	41.167
17	40.167
18	40.2
19	41.367
20	40.1
21	40.133
22	39.983
23	40.05
24	40.267
25	39.9
26	40
27	38.4
28	39.367
29	38.333
30	39.833
31	40.017
32	39.083
33	38.6
34	38.25
35	39.6
36	38.783
37	38.5
38	36.767
39	38.367
40	37.983
41	39.317
42	38.333
43	38.017
44	38.95
45	38.767
46	37.417
47	38.533
48	37.717
49	38.083
50	37.3
51	37.8
52	38.1
53	38.367
54	36.683
55	37.967
56	36.917
57	37.517
58	37.983
59	37.55
60	38.583
61	38.15
62	38.233
63	37
64	38.55
65	36.933
66	37.517
67	36.583
68	37.5
69	36.983
70	37.333
71	38.433
72	38.283
73	37.75
74	37.4
75	36.85
76	37.75
77	37.017
78	38.417
79	36.1
80	37.683
81	37.15
82	36.45
83	38.217
84	38.367
85	37.55
86	37.317
87	37.267
88	36.683
89	36.833
90	37.667
91	38.217
92	37.083
93	37.667
94	37.783
95	37.6
96	38
97	38.283
98	36.4
99	36.85
100	36.167
101	36.9
102	38.583
103	37.167
104	37.4
105	38.033
106	37.067
107	39.017
108	37.5
109	37.9
110	37.117
111	37.433
112	37.45
113	38.3
114	37.7
115	37.483
116	36.217
117	36.117
118	37.883
119	37.367
120	37.317
121	37.617
122	37.217
123	37.983
124	37.7
125	38.633
126	38.35
127	38.05
128	38
129	36.517
130	37.4
131	39.117
132	37.55
133	36.85
134	37.567
135	37.783
136	38.417
137	37.667
138	37.8
139	37.3
140	37.2
141	37.75
142	38.017
143	38.117
144	38
145	38.383
146	37.033
147	38.617
148	37.567
149	37.167
150	37.05
151	37.75
152	36.333
153	37.033
154	37.433
155	37.383
156	37.1
157	37.733
158	37.583
159	37.35
160	37.367
161	38.55
162	38.15
163	36.7
164	37.5
165	37.567
166	39.15
167	36.417
168	38.35
169	37.333
170	37.217
171	38.117
172	37.717
173	37.85
174	38.283
175	37.983
176	37.1
177	38.983
178	38.183
179	39.383
180	38.15
181	38.183
182	39.2
183	37.917
184	38.05
185	39.017
186	38.983
187	38.867
188	40.017
189	39.833
190	40.067
191	40.35
192	41.15
193	39.583
194	39.6
195	40.217
196	39.233
197	39.05
198	39.767
199	40.267
200	41.283
201	40.167
202	39.7
203	39.583
204	39.85
205	39
206	39.683
207	39.533
208	38.65
209	38.833
210	40.25
211	39.033
212	40.067
213	39.133
214	39.267
215	38.733
216	38.467
217	37.917
218	38.017
219	37.517
220	39.417
221	38.633
222	37.883
223	38.933
224	37.967
225	38.35
226	38.4
227	37.817
228	38.75
229	38.783
230	38.233
231	38.967
232	38.367
233	37.7
234	38.567
235	37.933
236	37.3
237	37.517
238	38.267
239	37.2
240	37.833
241	38.033
242	38.317
243	37.267
244	37.467
245	36.833
246	38.717
247	37.65
248	38.8
249	37.267
250	38.517
251	38.083
252	38.633
253	38.717
254	38.35
255	39.583
256	38.567
257	38.45
258	37.733
259	37.967
260	38.117
261	38.733
262	37.833
263	38.9
264	37.65
265	37.967
266	37.867
267	38.033
268	37.067
269	38.183
270	38.017
271	38.55
272	37.767
273	37.783
274	37.367
275	38.05
276	37.95
277	38.367
278	37.783
279	37.35
280	38.167
281	38.383
282	37.133
283	39.117
284	37.483
285	37.217
286	37.5
287	38.117
288	37.933
289	37.733
290	37.467
291	38.05
292	37.25
293	37.767
294	37.267
295	38.483
296	38.3
297	37.5
298	36.8
299	38.283
300	37.9
301	38.5
302	37.783
303	37.65
304	36.883
305	38.583
306	37.15
307	38.183
308	38.2
309	38.117
310	38.3
311	37.95
312	37.483
313	37.967
314	38.233
315	37.55
316	38.383
317	37.5
318	37.9
319	38.75
320	37
321	37.65
322	38.2
323	37.75
324	38.333
325	37.717
326	37.433
327	37.667
328	38.133
329	38.2
330	38.25
331	37.417
332	37.967
333	37.967
334	38.017
335	37.317
336	37.783
337	38.2
338	38.533
339	37.983
340	37.867
341	38.633
342	36.983
343	38.267
344	37.85
345	38.317
346	38.583
347	38.617
348	36.417
349	37.867
350	38.783
351	37.817
352	38.733
353	37.9
354	36.417
355	37.633
356	37.883
357	37.7
358	37.517
359	37.05
360	37.117
361	37.65
362	38.117
363	37.95
364	37.55
365	36.75
366	38.333
367	37.933
368	37.417
369	37.783
370	38.517
371	37.083
372	37.483
373	37.483
374	37.767
375	38.133
376	38.817
377	37.117
378	38.4
379	39.017
380	38.4
381	38.083
382	37.933
383	38.2
384	38.667
385	37.283
386	38.4
387	38.2
388	37.75
389	37.983
390	38.167
391	37.733
392	37.133
393	38.233
394	38.283
395	38.2
396	37.917
397	38.117
398	38.783
399	38.85
400	37.85
401	38.6
402	38.017
403	37.7
404	36.983
405	38.183
406	37.383
407	37.133
408	37.6
409	37.683
410	38.033
411	35.817
412	37.633
413	37.467
414	37.5
415	37.583
416	37.417
417	38.7
418	37.483
419	36.617
420	39.383
421	36.933
422	37.217
423	37.317
424	38.2
425	35.9
426	37.067
427	37.183
428	38.45
429	37.65
430	37.2
431	37.267
432	37.317
433	38.067
434	37.867
435	36.5
436	38.65
437	37.867
438	38.767
439	37.217
440	36.733
441	36.933
442	36.8
443	37.283
444	36.833
445	37
446	37.817
447	38.367
448	37.9
449	37.767
450	36.6
451	37.233
452	37.583
453	37.15
454	37.417
455	36.183
456	37.217
457	37.15
458	37.7
459	36.967
460	36.75
461	36.483
462	36.733
463	38.15
464	36.733
465	37.417
466	37.083
467	36.383
468	37.433
469	36.6
470	37.45
471	36.5
472	37.333
473	38.433
474	38.217
475	36.85
476	36.933
477	36.983
478	36.683
479	37.667
480	36.583
481	37.4
482	37.517
483	38.117
484	37.35
485	37.083
486	37.133
487	37.483
488	37.217
489	36.883
490	36.45
491	37.417
492	38.183
493	37.033
494	36.633
495	36.267
496	37.2
497	38.067
498	37.683
499	36.133
500	37.45
501	36.717
502	37.933
503	37.583
504	37.333
505	37.467
506	37.767
507	38.25
508	37.25
509	37.45
510	38.067
511	37.1
512	38.483
513	37.25
514	36.85
515	37.55
516	38.45
517	37.283
518	36.8
519	37.317
520	38.067
521	36.95
522	37.617
523	36.267
524	37.583
525	36.867
526	37.167
527	35.8
528	36.917
529	37.4
530	38.283
531	36
532	37.55
533	36.217
534	36.583
535	36.75
536	37.467
537	38.217
538	37
539	37.583
540	37.4
541	36.917
542	37.833
543	36.833
544	37.717
545	37.217
546	37.067
547	37.467
548	37.45
549	37.25
550	38.133
551	36.133
552	36.233
553	37.783
554	37.517
555	38.617
556	37.267
557	37.717
558	37.033
559	37.167
560	36.717
561	38.017
562	37.433
563	37.4
564	37.45
565	37.833
566	37.083
567	38.217
568	37.117
569	37.7
570	37.967
571	37.5
572	37.933
573	37.033
574	37.567
575	37.267
576	37.683
577	37.5
578	36.917
579	37.567
580	38.4
581	37.917
582	37.6
583	37.833
584	37.867
585	36.783
586	37.117
587	38.15
588	37.833
589	37.3
590	37.683
591	37
592	37.333
593	37.433
594	37.533
595	37.35
596	38.4
597	37.4
598	37.033
599	37.233
600	37.083
601	38.133
602	38.167
603	38.1
604	37.733
605	37.783
606	38.133
607	36.833
608	37.833
609	37.383
610	37.433
611	36.9
612	37
613	37.05
614	37
615	37.933
616	37.417
617	38.267
618	37.367
619	37.583
620	38.567
621	37.15
622	38.45
623	37.033
624	38.117
625	39.95
626	40.233
627	40.333
628	40.533
629	41.017
630	41.15
631	40.483
632	40.767
633	41.533
634	40.5
635	39.65
636	39.667
637	40.267
638	40.517
639	39.317
640	40.583
641	38.75
642	40.933
643	38.6
644	40.233
645	39.633
646	40.117
647	39.767
648	38.833
649	38.517
650	38.733
651	38.617
652	38.433
653	37.95
654	38.55
655	38.767
656	38.933
657	39.017
658	36.9
659	38.4
660	38.9
661	37.6
662	38.15
663	38.317
664	38.517
665	38.75
666	37.767
667	38.867
668	37.483
669	38.767
670	38.217
